Statistical profiling result from isolate-0x4d3c790-366793-v8.log, (51837 ticks, 2489 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      9    0.0%    0.1%  LazyCompile: *init /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/chacha20.js:49:7
      9    0.0%    0.1%  LazyCompile: *get node:internal/bootstrap/pre_execution:318:8
      9    0.0%    0.1%  LazyCompile: *encodeInt /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/asn1.js/lib/asn1/encoders/der.js:185:50
      9    0.0%    0.1%  LazyCompile: *decrypt /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/aead.js:113:10
      9    0.0%    0.1%  LazyCompile: *bytesToTuples /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-tcp/node_modules/multiaddr/src/codec.js:171:24
      9    0.0%    0.1%  LazyCompile: *ReadHandlers /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-length-prefixed/src/decode.js:50:21
      8    0.0%    0.1%  LazyCompile: *waitNext /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-pushable/index.js:17:20
      8    0.0%    0.1%  LazyCompile: *toString /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/uint8arrays/to-string.js:36:19
      8    0.0%    0.1%  LazyCompile: *getNAF /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/elliptic.js:8837:16
      8    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:679:24
      8    0.0%    0.1%  LazyCompile: *emitReadable_ node:internal/streams/readable:570:23
      8    0.0%    0.1%  LazyCompile: *derive /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/ecdh.js:231:9
      8    0.0%    0.1%  LazyCompile: *decode /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/multibase/src/base.js:40:10
      8    0.0%    0.1%  LazyCompile: *decode /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-mplex/src/coder/decode.js:7:53
      8    0.0%    0.1%  LazyCompile: *decode /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/@multiformats/base-x/src/index.js:114:19
      7    0.0%    0.1%  RegExp: ^(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]\d|\d)(?:\.(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]\d|\d)){3}$
      7    0.0%    0.1%  LazyCompile: *withIs.proto.className /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/multiaddr/src/index.js:27:41
      7    0.0%    0.1%  LazyCompile: *readableAddChunk node:internal/streams/readable:235:26
      7    0.0%    0.1%  LazyCompile: *randomBytes /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/native/random-openssl.js:28:21
      7    0.0%    0.1%  LazyCompile: *oneChunk /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/multistream-select/src/multistream.js:11:25
